GLUD1/2,SOCS3,ARG1,IFNG,UHRF1,RICTOR,MAP2K2
10.610447,4.6749873,2.938022,6.053499,5.812491,9.307256,8.419148
10.792783,6.5495763,2.5395923,5.893229,4.45713,9.24925,8.346947
10.682834,5.24068,2.848363,6.340216,5.24068,9.077182,8.463073
10.678726,4.8897715,4.8897715,6.9242597,5.459137,9.463052,8.310615
10.696035,6.2621393,3.2366042,5.0731053,5.8215666,8.558533,8.457155
9.824459,5.7275977,3.557673,5.7275977,4.879601,8.70742,8.843075
10.956994,6.1725154,3.5875528,5.909481,5.1725154,8.466699,8.702039
11.044977,6.6346936,3.556691,8.044977,4.8461976,8.854372,8.791907
11.097087,6.4787517,2.288927,5.0438147,5.1469083,8.527332,8.637655
10.983135,5.5074015,4.244367,5.952186,4.922439,9.502383,8.585404
11.013816,6.5123024,3.545469,5.5778904,4.4079657,9.333965,8.14132
11.057153,5.188268,6.2168374,5.8663397,5.4513025,9.351767,8.265511
10.81486,6.281428,2.6709301,5.6050425,5.3393087,9.135038,8.232081
10.857032,5.760065,3.6062596,6.039219,5.012252,9.264471,8.148518
10.778945,5.1754665,4.4385014,6.0861993,5.0861993,9.322773,8.120325
10.686009,7.348652,0.80949295,6.2018104,5.7163835,9.085617,8.71036
10.83136,5.2858944,2.531007,7.6290393,4.2314467,9.807132,8.376497
10.669937,5.857581,3.4950113,5.0095844,4.857581,9.457494,8.377654
11.096973,6.2037106,4.9183083,3.618748,2.7256632,10.572049,7.6864924
10.616818,6.7341757,4.99721,5.6346397,5.1492133,8.925317,8.084673
10.730669,7.461482,4.346005,7.1068172,5.2635427,9.209503,8.209503
10.741498,5.8694777,5.3269506,5.2628202,4.4472446,9.317117,8.421774
10.782712,6.3015847,5.0385504,5.5239773,5.8865476,9.316535,8.417062
10.713003,7.478098,5.2360234,6.4182267,5.1794395,9.186635,8.5355835
10.585473,7.0703254,2.9456296,5.530592,5.201969,8.744371,8.550491
10.719314,7.076561,2.7819402,6.6274304,4.589295,8.998686,8.392965
10.818402,7.266886,3.710493,7.281242,4.870958,9.070113,8.433602
10.521322,6.5094104,5.180103,5.9821634,5.9607897,9.203039,8.278404
10.780033,7.014688,3.0146883,5.9622207,4.907773,8.9488,8.164435
10.541924,6.801826,5.185155,4.6933017,5.0152297,9.46314,8.397205
11.093751,6.1584063,6.122782,5.1584063,5.355443,9.432031,8.122782
10.884229,6.697552,3.2381203,6.2493477,4.3674035,9.453653,8.159962
10.955087,6.979464,4.388349,5.8973627,4.388349,9.22836,7.99169
