ECHS1,PIK3R1,SOCS3,TNFAIP3,MAP3K8,MAPK3,RORA
-0.6099951,-1.3241736,-2.1251614,-0.80815315,-0.726235,0.072390005,-0.093117245
0.26375106,-0.013008279,0.36015815,0.9139329,0.17975982,0.2356307,0.15699624
0.16473247,-0.49477854,-1.3751689,-0.40484703,-0.798665,-0.39756238,-0.19922946
0.46023223,-1.2424643,-1.8404018,-2.0456333,-1.2955483,0.21702321,-0.15127626
1.4545077,-2.1262481,-0.02092416,-1.4144819,-1.6210715,0.35631028,-1.9464384
1.0515589,0.0828503,-0.7296164,-1.8793612,-2.9603434,4.0610614,-2.9481025
0.92188144,-1.3193551,-0.13974705,-1.2249025,-0.9398711,0.790216,-1.479013
0.6763858,0.42750698,0.47300625,1.3169407,0.08400912,0.6055357,0.3848119
1.9754544,-0.21862398,0.26625925,-0.4161173,-0.12735729,0.9842123,-1.6273328
1.2475166,-0.7147084,-1.0215514,-0.8850841,-0.11655802,1.0325264,0.33140844
-0.9708755,1.4787934,0.31074065,0.42142904,1.5233061,-0.9047573,1.0484942
0.04104612,-0.033543516,-1.4446565,-0.38310134,0.36519465,0.5242671,-0.27414557
1.1239121,-0.6680921,0.0046484787,-0.13726623,0.09903906,-0.47450945,-0.61670375
0.7376606,-1.5555855,-0.68657136,-1.0196329,0.47872752,0.21129477,-1.1391073
0.34095433,-1.4078586,-1.4616288,-1.6898172,-0.39215952,-0.4333552,-0.46203068
0.7784838,-0.91103446,1.4195681,0.14857298,-1.1072589,1.0856482,-0.34039208
0.3586168,0.25305238,-1.3152242,0.09039928,-0.98552465,0.013885277,0.22538498
-0.17079103,0.20879345,-0.55728513,0.021142062,-0.39283052,0.53443944,1.0902
-2.997377,2.3730364,-0.09838869,0.9819818,0.2495822,-1.6512989,1.1703256
-0.58324176,0.32529116,0.604899,-0.5155376,-0.67751235,-1.2324376,0.111632474
-0.43919185,0.621766,1.5691577,1.514639,1.4128196,-0.38520327,0.61873674
0.37438995,-0.07018416,-0.54151267,1.643858,0.9544656,0.11077331,-0.0761451
-0.3484197,0.46812606,0.03137233,0.34358242,0.53928757,0.5357117,-0.24078332
-1.7765461,0.77229625,1.5911869,0.6855761,-0.2896485,-0.100735545,1.2759957
0.44752008,-0.16981697,1.0505644,0.5336059,-0.23338737,-0.09252366,-0.34953105
-0.6066193,1.4820607,1.0588315,1.278662,1.547098,-1.1008089,1.4464035
-0.113429934,1.2933044,1.3111637,1.9127359,2.0088232,-0.5932072,1.2471399
-0.5902143,-0.064899884,0.30690643,0.09209962,0.7603647,-0.73918915,0.98065853
0.16227879,-0.21552686,0.9768007,-0.10197252,0.18817893,-0.20036088,-0.15572457
-0.2956613,0.09680617,0.69458944,0.6382513,0.12371638,-0.45725378,1.0365422
-0.013053623,0.7573641,-0.15845287,-0.31823334,0.9604964,-0.38542655,0.12528974
-1.4245952,1.7213973,0.5563438,0.35308406,0.7804832,-0.67285174,1.213991
-1.640851,0.18744676,0.9301009,0.35365236,0.40864354,-1.5494807,-0.3649192
