feature,importance
SOCS3,17.573765163350725
ECHS1,17.36036718119019
PIK3R1,15.955773491128799
TNFAIP3,15.06100621740732
MAP3K8,12.204961596966108
MAPK3,11.37822186730852
RORA,9.756750994718898
CD69,8.497638679202765
CEACAM3,8.489780343376212
YES1,8.463322557561906
CEACAM1,7.832503857011258
SLC2A3/14,7.775054890993939
HLA-DQA1,7.625700074762894
ID2,7.475362400276513
PPM1A,7.4549234714165244
JARID2,7.4246418108213215
CBLB,7.3070157598048615
ARG1,7.240454453467397
CCR2,7.147800735044926
BATF,7.129500078730438
CCNT1,6.99814645424227
JAK1,6.975187361477461
BRWD1,6.939216552178274
ALDOA,6.883332081038115
PTPN6,6.677024891731742
PPP2R5A,6.671561803452706
HLA-DQB1,6.659428956832583
DCTN6,6.581055815450199
PPP2CB,6.545761912670882
ICOSLG,6.532497553458684
TRPM7,6.322327725594695
CCL2,6.292138812817889
TICAM1,6.263720774597035
FCAR,6.116405395623021
GADD45A,6.1086662824773725
IRF2,6.095982217760209
SF3B1,6.069946658824298
PML,6.06043953960561
MCL1,6.047340274531122
CD180,5.938821273284484
DNM1L,5.906051789069352
VAV3,5.7804282662725415
CD27,5.6433015770982955
CD200R1,5.623781988969706
CD4,5.598647145654927
RRAS,5.590494813959474
TNFRSF1A,5.455349265773407
PIAS1,5.3355134696766715
IL27RA,5.31918503311874
TRIM33,5.301828325149118
MAP2K2,5.295104516052172
PIK3CA,5.29508545905879
AK4,5.281118411091616
MMP9,5.261028166486655
CISH,5.203160950391649
SLC7A5,5.192751033245469
SOCS1,5.094137505872979
KDM3A,5.07483217187785
CLCF1,5.0720926204342565
PSMB10,5.049327299895291
CXCL1/2/3,5.045919383971941
STAT4,5.0414501362366595
TAX1BP1,5.03994626430889
CNTF,4.996246500075373
AIFM1,4.937347414654436
PRDM1,4.903780979236308
RHEB,4.820287377492951
MS4A1,4.809535563835559
PKN2,4.692923600104716
BCL6,4.662340337454923
TPP2,4.6586128541858915
CYP26C1,4.64319111603992
ITPR2,4.530572421833236
PPP2CA,4.489074526535489
TOX,4.473739686090017
JUND,4.451091036154899
PLCG2,4.447952024546567
JUNB,4.434261365266597
BLK,4.399969780198443
HLA-DRB1/3,4.396167821396491
IL6R,4.356955754829049
JUN,4.32657390465922
DRAP1,4.320583037918378
ATR,4.27432179330684
PPP1CB,4.188368375939202
CD274,4.181456850403075
USP15,4.127451920283077
YY1,4.117591642179982
HCST,4.077612898688131
ATF4,4.067458403018648
CXCR3,4.02716787516803
PIK3CB,4.023466358330173
HEY1,4.022182828211224
PBX3,3.932578402968385
IL1R2,3.9269474833892497
PSME2,3.904744830838914
TNFSF10,3.900746482440074
GK,3.8865605660864966
CCNT2,3.8207132038397416
ZBTB16,3.82064603477611
SMAD3,3.7137304190565383
NFIL3,3.7120387540956723
BAX,3.701664732822065
NFKBIA,3.649100296172333
ADORA2A,3.5943914172806264
NFAT5,3.571369468093064
ROCK1,3.55958568640066
OAS2,3.557974921162788
IL2RA,3.513738279803269
DUSP1,3.408941387926471
CD33,3.4001553667333684
MIF,3.3739280977500274
CD80,3.3443586166189174
GSK3B,3.322298211755342
IL12A,3.3115986939960456
TRDC,3.2674808586709827
VDAC1,3.261163949839448
XCL1/2,3.1630697386746096
FCER1G,3.155745328708295
ZFP36L2,3.1300026781420573
CAMK2D,3.1077646492312
FZD2,3.0360034647418854
TRDV2,3.031052752655367
CRTAM,3.0127510384743927
PSMB9,3.007525232295519
FADD,2.953781504340672
NFKB2,2.916475248597286
SESN3,2.90279366877156
IRAK4,2.8821272193393157
LAIR1,2.870761715923377
DTX4,2.857920330631092
KIR2DS1/4,2.8380050731128215
KIR2DL5A/B,2.8337691409556443
ITGAV,2.8140538146745175
CSF3R,2.7814656642483198
KIR3DL1/2,2.7560206966335135
STAT5A,2.7468382840038363
PTPN22,2.71159874859426
CSF1R,2.707879394758028
PRKAA1,2.6735584943613264
MYSM1,2.6378446334706207
SELL,2.6362987775427373
MRAS,2.6158752435381123
