feature,importance
SOCS3,0.815572431215493
ARG1,0.47576322875958593
ECHS1,0.3690139827225652
TNFAIP3,0.265725306535167
ALDOA,0.1530823141755601
FCAR,0.147075815219651
YY1,0.1390080555621556
PML,0.10580122204735724
HLA-DQA1,0.05877569657866935
PIK3R1,0.038386453164504224
FZD2,0.032013137311351386
MAPK3,0.011278645628428549
ACSL4,0.0
ACSL6,0.0
ADORA2A,0.0
ADORA2B,0.0
AHR,0.0
VAV3,0.0
AKT1,0.0
AKT2,0.0
AKT3,0.0
ALDH1A1,0.0
ALDH1B1,0.0
ALOX5,0.0
ANAPC4,0.0
ANGPT1,0.0
APH1A,0.0
AQP7,0.0
ASB4,0.0
ATF4,0.0
TRIM33,0.0
ATP7A,0.0
ATR,0.0
B4GALT1,0.0
BAK1,0.0
BATF,0.0
BAX,0.0
BCL2,0.0
BCL2L1,0.0
BCL6,0.0
BID,0.0
BLK,0.0
BMP8A/B,0.0
BPI,0.0
BRWD1,0.0
BST2,0.0
BTK,0.0
BTLA,0.0
BTRC,0.0
CACNB4,0.0
CALM1,0.0
CAMK2D,0.0
CARD11,0.0
CARD16,0.0
CASP3,0.0
CASP8,0.0
CASP9,0.0
CBL,0.0
CBLB,0.0
CCL2,0.0
CCL3/L1,0.0
CCL4/L1,0.0
CCL5,0.0
CCNA1,0.0
CCNB1,0.0
CCNB3,0.0
CCNC,0.0
CCNT1,0.0
CCNT2,0.0
CCR1,0.0
CCR2,0.0
CCR5,0.0
CCR7,0.0
CD101,0.0
CD14,0.0
CD160,0.0
CD163,0.0
CD180,0.0
CD19,0.0
CD200R1,0.0
CD22,0.0
CD226,0.0
CD244,0.0
CD27,0.0
CD274,0.0
CD28,0.0
CD33,0.0
CD38,0.0
CD3D,0.0
CD3E,0.0
CD3G,0.0
CD4,0.0
CD40,0.0
CD40LG,0.0
CD45R0,0.0
CD45RA,0.0
CD48,0.0
CD5,0.0
CD6,0.0
CD68,0.0
CD69,0.0
CD70,0.0
CD72,0.0
CD79B,0.0
CD80,0.0
CD84,0.0
CD86,0.0
CD8A,0.0
CD8B,0.0
CD96,0.0
CDC14B,0.0
CDC16,0.0
CDC20,0.0
CDC42,0.0
CDH1,0.0
CDKN1C,0.0
CDKN2C,0.0
CEACAM1,0.0
CEACAM3,0.0
CEBPB,0.0
CEBPD,0.0
CFLAR,0.0
CHEK1,0.0
CHUK,0.0
CIITA,0.0
CISH,0.0
CLCF1,0.0
CMKLR1,0.0
CNTF,0.0
CPA3,0.0
CR2,0.0
CREB3L2,0.0
CREB5,0.0
CREBBP,0.0
CRLF2,0.0
CRTAM,0.0
CSF1,0.0
CSF1R,0.0
CSF3R,0.0
CSH2/GH2,0.0
CTBP2,0.0
CTF1,0.0
CTLA4,0.0
CTSW,0.0
CUL1,0.0
CUL2,0.0
CXCL1/2/3,0.0
CXCL11,0.0
CXCL8,0.0
CXCR3,0.0
CXCR6,0.0
CYLD,0.0
CYP26A1,0.0
