AIFM1,AK4,ALDOA,ANGPT1,ARG1,BATF,CCL2,CD180,CD200R1,CDC20,CEACAM1,CEACAM3,CEBPB,CYP26C1,DAPP1,DCTN6,ECHS1,EFNA1,EGF,EHHADH,EIF4B,FCAR,FOXP3,FZD2,GLUD1/2,HADHB,HLA-DQA1,HLA-DQB1,HLA-DQB2,ID2,IL6R,INPP5D,IRF4,IRS1,JARID2,KIR3DL1/2,LAMTOR3,MAP3K8,MAPK3,MCL1,MMP9,MS4A1,PDCD1LG2,PDGFRA,PIK3R1,PML,PPP2CB,PPP2R5A,PSMB9,RHEB,RRAS,SELL,SESN1,SLC7A5,SOCS1,SOCS3,TICAM1,TNFAIP3,TOX2,TPSAB1/B2,TRDC,TRDV2,TRGV3/5,TRGV9,VTCN1,XCL1/2,YY1
7.16041423,6.053499026,11.15880318,6.16041423,2.938021808,6.967769152,5.353059308,7.828792738,8.665942263,4.812490926,5.812490926,4.812490926,10.02901634,4.353059308,9.661398338,8.804270419,7.562512673,4.812490926,4.522984309,5.876621264,12.5649476,7.353059308,6.053499026,4.16041423,10.61044715,9.217245452,10.66594226,10.38648231,10.02194429,11.65341187,8.271922545,11.78872957,8.283796645,6.779324062,6.812490926,8.7367636,9.06041844,9.512930644,9.53793465,10.49261066,6.600986821,10.20792769,4.353059308,4.353059308,10.33605288,6.211040303,9.353059308,10.15072083,10.3809653,10.00769534,6.482342324,11.98696272,8.386482309,7.053499026,7.656840056,4.674987402,7.828792738,10.78560121,5.053499026,3.353059308,11.71390639,7.235702357,8.899953767,5.440522149,5.259949903,9.397453427,10.62685491
7.042092509,6.177022089,11.24311128,5.954629668,2.539592168,7.042092509,4.829098785,8.083912684,8.702822517,4.795931921,6.215157218,5.300404504,10.74904553,3.457130008,10.15675349,9.164083033,7.766271948,4.227648162,5.969580009,4.829098785,12.65058289,7.61284115,5.559491726,4.457130008,10.79278308,9.325317074,9.788573898,8.323863477,9.902996899,11.59427185,8.240031886,11.71784203,8.326769208,6.097587621,7.397573163,7.403090168,9.134538758,10.04474209,9.588835687,11.13909181,5.042092509,9.740354574,2.369667167,5.042092509,11.03411445,6.380894422,9.329669099,9.959318313,10.33545145,9.968650138,6.984377011,12.20926465,7.885367005,7.783295096,7.569339512,6.549576257,7.727219171,12.22764816,3.276557762,4.727219171,11.19581838,8.378095789,8.141156636,4.369667167,4.539592168,8.615219873,10.50793897
7.257753812,6.520788218,10.91714115,5.371924832,2.848362876,7.718727596,4.655717798,7.433325377,9.270427642,4.170290971,6.274627631,5.09629039,10.5660393,4.018287878,9.593196714,8.693852927,7.74318064,4.848362876,4.170290971,5.492219066,12.56561088,7.340215973,5.892756996,4.935825717,10.68283393,9.278815428,11.2015097,9.649262776,9.977645893,11.41726903,8.266215391,11.70556635,8.240680299,5.755253472,7.038187435,7.433325377,9.249242312,9.470414696,9.391394696,10.55916931,5.977645893,9.152143624,3.655717798,3.655717798,10.77762128,6.170290971,9.406783589,10.23853183,10.42201006,9.853987425,7.170290971,11.95165068,8.077181567,7.205914881,7.402951728,5.240680299,7.576283331,11.12332335,3.170290971,4.018287878,10.67649936,5.706343871,8.307794495,4.655717798,4.307794495,9.138381723,10.51724786
7.378518443,6.085322066,11.18764899,4.520537447,4.889771257,7.419390724,4.257503042,8.985423496,8.670284567,6.535487789,6.32789237,4.023037788,10.44039393,2.257503042,9.872212886,8.90424174,7.812091893,3.842465542,4.18350246,5.690462449,12.55005475,7.32789237,5.293126951,4.889771257,10.67872634,9.501628985,10.3171179,8.901359231,10.89485245,11.40267098,8.357639713,11.67451163,10.14014609,5.395006565,6.742929869,7.710362006,9.308440007,9.17874893,9.583033373,10.60268649,5.293126951,10.55304241,3.257503042,3.520537447,10.37955449,6.257503042,9.380589793,9.982698859,10.58483112,9.931342098,6.889771257,12.05581282,7.95794276,7.774778735,7.064857964,4.889771257,7.848464283,9.749356138,4.257503042,4.459136903,11.27987085,7.872212886,9.747752252,4.32789237,4.742929869,8.64638138,10.53734574
7.249428196,6.101674575,11.59917423,4.236604155,3.236604155,7.073105423,4.821566656,8.317992482,8.243030424,4.677176747,5.336139829,4.336139829,11.10608784,3.014211734,9.948885486,8.429249233,8.043959077,5.073105423,3.014211734,5.129688951,12.49601117,8.262139247,5.184136735,4.751177328,10.69603577,9.540384903,11.83226126,11.60978004,11.58153408,10.93704387,8.542991399,11.42501638,8.760166111,5.516712074,7.311892283,6.336139829,9.223665099,8.987669946,9.626465926,11.03287558,5.129688951,9.339142317,2.429249233,3.236604155,9.909029497,6.073105423,9.140055667,9.604174916,10.40795969,9.991491657,7.058605853,12.29304834,7.568800586,6.999104841,6.999104841,6.262139247,7.619073792,10.27787217,3.429249233,3.751177328,10.67598983,8.163958853,7.462672235,3.236604155,4.599174235,7.667653972,10.31036319
6.464563458,5.557672863,11.55485234,4.142635363,3.557672863,8.511869173,7.081234819,8.312560365,10.14263536,5.557672863,5.142635363,4.142635363,12.31256036,2.557672863,10.23715296,9.299139849,7.949990286,5.142635363,2.557672863,3.557672863,12.9553475,7.767126228,6.258112581,2.557672863,9.824459403,9.63448846,11.35857276,7.949990286,11.03340629,11.53781244,6.645135704,12.71880475,8.932712294,5.879600958,7.68695588,7.879600958,9.440315912,8.201529053,10.78167454,10.66619732,6.142635363,9.870555818,4.142635363,4.557672863,11.08514987,6.464563458,10.91522487,10.59109586,10.11991529,11.11609358,9.017104481,11.84769171,7.879600958,8.415653858,6.557672863,5.727597864,8.258112581,9.888589741,2.557672863,2.557672863,10.80560038,7.017104481,7.511869173,6.017104481,5.142635363,9.230098205,10.94137716
7.357626682,5.206462608,11.67198156,4.867660695,3.587552776,7.311579314,4.638178849,7.950122855,8.57461372,4.687088449,5.424054043,4.950122855,10.90948087,2.780197854,9.684079699,8.511516885,7.919749206,3.780197854,4.480637572,5.561557567,12.79002647,7.111114732,5.480637572,4.028125367,10.95699433,9.550035697,3.239629472,2.365160354,10.42855544,11.62490362,8.185339317,11.41137491,7.728565085,5.802565667,6.548382178,7.76888254,9.187465618,9.387528167,9.761765136,10.51406057,5.239629472,9.47890252,3.780197854,2.365160354,10.33861857,6.255931285,9.287992494,10.17144144,10.97495471,10.09081064,6.88872231,12.49958667,8.193825783,7.102125949,6.561557567,6.172515276,7.710935191,10.43662272,3.239629472,4.239629472,11.87757162,9.728565085,8.133344679,4.424054043,3.687088449,8.684079699,10.5334146
7.463581603,5.634693519,11.1574299,4.910327962,3.556691007,7.101011523,4.087205724,6.761805437,8.662890411,4.634693519,5.431160125,3.971728506,10.12316794,1.971728506,8.86654627,8.994096319,7.862499437,4.634693519,4.194120928,4.846197624,13.32781361,5.971728506,6.030622195,3.194120928,11.04497749,9.15495033,9.956621614,8.073266533,11.16237629,12.08850564,7.878619102,11.5560647,8.690546754,5.910327962,6.862499437,8.420189007,8.986678848,9.988536794,9.704178619,10.75418076,4.474228847,9.596219371,3.846197624,4.194120928,11.26864471,6.194120928,9.346767938,10.29815799,10.71768288,9.966081943,6.21965602,12.56698599,8.232256057,7.75308822,7.74431801,6.634693519,7.232256057,12.56511963,3.708694101,3.708694101,11.7437681,8.25095215,9.389581021,4.293656601,4.556691007,8.490053814,10.75527247
7.243123499,5.748358807,11.82468857,5.096282111,2.288927189,7.030394175,5.146908184,8.096282111,8.555713729,4.288927189,5.45885219,5.043814691,11.46072948,2.288927189,9.826145589,8.862574376,8.165444135,3.989366907,3.748358807,4.873889689,12.78027926,8.109106151,5.932783378,4.37639003,11.09708696,9.613107735,12.06082927,11.8149373,11.19956992,12.36072471,8.076829748,11.48798601,8.128130977,5.574329407,6.84351604,7.083343055,9.23729442,9.864466435,9.822256921,10.80954587,5.37639003,8.824202565,3.610855283,2.873889689,10.92464531,6.146908184,9.23729442,10.1218172,10.6596146,10.15620593,6.610855283,12.62012407,7.812489145,7.344209624,6.646479193,6.478751747,7.628777191,11.11388593,3.748358807,5.873889689,10.367078,4.932783378,7.748358807,2.873889689,3.748358807,8.207790426,10.45257686
7.195457474,6.337476479,11.32758044,5.546929845,4.244367075,7.18296653,5.195457474,8.780419975,9.362616042,4.729793902,6.861038435,4.981332669,10.72118077,4.144831401,9.933666235,8.556645,7.995687962,3.92243898,4.144831401,5.729793902,12.95792543,7.738355916,5.892065331,2.92243898,10.98313491,9.459009997,2.337476479,1.92243898,12.11678545,11.2748503,7.677326482,11.74686742,8.742617942,5.381870599,6.952186323,7.712515911,9.532233334,9.870806212,9.837322366,10.93924727,6.244367075,11.17982682,3.796908098,4.507401481,10.66053124,6.87663529,9.587774897,10.35845642,11.0940328,10.27705569,6.56629517,12.32474049,8.903530517,7.131892346,6.092363981,5.507401481,7.575881219,10.72118077,3.659404574,4.337476479,10.95034498,5.585403993,8.320470054,5.42493932,4.42493932,9.268213817,10.42626472
7.063317446,6.194561979,11.18011521,5.700747366,3.545469141,6.194561979,4.255962524,7.577890619,8.362161928,3.78647724,5.758462864,4.333965036,10.34695706,4.255962524,9.977821225,9.245908859,7.478354945,4.729893712,5.577890619,5.295490888,12.60223,7.235784642,5.640626374,4.478354945,11.01381548,10.02267546,11.53156974,10.45235974,10.53518617,12.04132417,8.113943519,11.65209156,8.022675461,5.758462864,7.173500363,7.130431642,9.204978595,10.83339135,9.233242447,10.4169544,5.512302277,11.02488198,3.78647724,4.407965617,11.82834696,6.314856213,9.240855631,9.559743272,10.43144277,9.803713945,6.80028304,12.35165257,9.297925817,7.992928118,7.537248634,6.512302277,7.184069605,11.81523338,3.893392444,4.545469141,11.12427066,7.758462864,8.91258601,4.729893712,4.407965617,8.682227278,10.64445824
7.27233228,5.753865191,11.49933512,5.753865191,6.216837168,6.811198366,4.714336827,7.566779639,7.953802762,4.631874667,7.067973782,5.003843444,11.10569977,2.866339921,10.06208121,9.181036446,7.714336827,4.451302421,5.451302421,5.498608136,12.81587485,8.615874188,4.866339921,4.244851544,11.05715229,9.97067658,11.56885895,9.696696668,12.21107967,11.74592317,8.052206466,11.67240615,8.402392821,6.036264922,7.389901877,7.299299328,9.396160867,10.15359056,9.678838146,10.99252813,6.936729248,11.45205363,3.351766748,3.866339921,11.02318145,6.15912167,9.530253763,10.06993263,10.63320006,9.987355322,6.544411826,12.31011231,8.166463645,7.577834827,7.51019611,5.188268015,7.099000677,11.14153325,3.351766748,3.129374326,11.5730086,8.332314385,8.37730184,5.188268015,4.544411826,7.544411826,10.61453277
7.351415286,6.073028618,11.39178515,5.670930174,2.670930174,6.852259939,4.418164104,8.258037947,8.909334913,5.053399811,6.212303406,4.951038093,10.7663272,3.185503347,10.2288041,8.901122206,7.96686306,4.448537753,4.670930174,5.852259939,12.50934625,8.777960384,5.130361793,4.323006871,10.81485997,9.698046302,2.56401497,1.670930174,10.25964481,11.51440263,7.945724293,11.76651558,8.565747937,5.492931872,7.16278327,7.351415286,9.463488094,9.997359661,9.36740099,11.3666556,5.631759577,10.47552219,3.721556247,4.111502765,10.68534923,6.29820348,9.33016159,10.35141529,10.52935528,10.10197999,6.811942484,12.27958103,8.023446589,7.448537753,7.289840007,6.281427767,7.631759577,11.34739103,4.073028618,3.721556247,11.67072889,9.048450595,7.724662158,4.721556247,3.951038093,8.077894373,10.56834349
7.301139782,6.624181497,11.40683598,6.091686417,3.606259589,7.19122209,4.371794336,8.811808501,8.413614511,4.532259008,7.479088349,6.413614511,11.05870677,2.869293995,10.56799866,8.72934634,7.876788532,4.284331495,4.676648917,5.284331495,12.38663531,8.739658715,5.693722431,4.454256496,10.85703172,9.693722431,11.25191802,10.64517858,10.62473799,11.24758885,7.960288527,11.77618459,8.574350341,5.350420685,7.355793857,6.215068832,9.561618895,10.22023318,9.581247701,11.01352735,7.185198303,10.66587445,4.19122209,4.19122209,10.21284987,6.784177382,9.373119733,10.1662102,11.00200792,10.22170531,7.479088349,12.18482098,7.977818452,7.484003839,7.14231249,5.760064926,7.454256496,10.60851204,3.454256496,3.284331495,11.60259184,8.951443037,8.270173432,4.371794336,3.928187684,8.578952243,10.54289753
7.238969687,6.377100605,11.06494029,5.232050273,4.43850115,7.332510454,4.338965477,8.567784167,8.370814343,4.055172511,6.299794879,4.817012773,10.52949568,3.338965477,9.932489991,8.765230231,7.784275987,4.701535556,4.116573055,5.779538068,12.38257871,7.345391746,5.553978368,4.38959155,10.77894473,9.405054667,10.28733271,8.762831735,11.56744063,10.8557911,7.962063106,11.8493058,8.405054667,5.086199406,6.97455405,7.116573055,9.284827304,9.709030093,9.380233495,10.77120908,5.146320399,9.993090002,4.055172511,2.853538649,10.29149874,6.640135011,9.284827304,10.13430942,10.64339829,9.9766254,6.54283781,12.33997147,8.444499891,7.138940868,6.906649986,5.175466744,7.491612487,10.04731039,3.338965477,4.779538068,11.03791814,7.131523397,8.109039383,4.485806865,3.43850115,8.595005636,10.40197527
