feature,importance
AIFM1,-1
AK4,-1
YY1,-1
ALDOA,-1
ANGPT1,-1
IL6R,-1
INPP5D,-1
JARID2,-1
HLA-DQA1,-1
TOX2,-1
TRDC,-1
TPSAB1/B2,-1
TRDV2,-1
KIR3DL1/2,-1
ID2,-1
LAMTOR3,-1
MAPK3,-1
MAP3K8,-1
HLA-DQB1,-1
HLA-DQB2,-1
CD180,-1
MS4A1,-1
MCL1,-1
TNFAIP3,-1
MMP9,-1
TICAM1,-1
PPP2CB,-1
PPP2R5A,-1
EHHADH,-1
EGF,-1
FOXP3,-1
PIK3R1,-1
GLUD1/2,-1
PDCD1LG2,-1
PDGFRA,-1
FCAR,-1
HADHB,-1
FZD2,-1
CCL2,-1
CD200R1,-1
TRGV9,-1
TRGV3/5,-1
BATF,-1
ARG1,-1
IRF4,-1
IRS1,-1
SELL,-1
RRAS,-1
VTCN1,-1
XCL1/2,-1
SOCS1,-1
SLC7A5,-1
CEBPB,-1
CEACAM3,-1
CEACAM1,-1
PML,-1
EIF4B,-1
SESN1,-1
EFNA1,-1
ECHS1,-1
DCTN6,-1
DAPP1,-1
CYP26C1,-1
RHEB,-1
PSMB9,-1
SOCS3,-1
CDC20,-1
HMGB1,-2
CCR2,-3
TNFRSF1A,-4
CSF3R,-5
DUSP1,-6
TTK,-7
PRDM1,-8
MIF,-9
CD33,-10
SIGLEC1,-11
BST2,-12
TRGV8,-13
PIAS1,-14
TNFSF4,-15
GREM2,-16
TIGIT,-17
DGKZ,-18
NFIL3,-19
UCP1,-20
HCST,-21
CYLD,-22
MBD3,-23
IGHA1,-24
BAX,-25
CCNC,-26
MMP14,-27
PBX3,-28
BPI,-29
IDO1,-30
BCL6,-31
CD45R0,-32
PPARG,-33
SIGLEC6,-34
TNFRSF17,-35
LAG3,-36
JAK1,-37
CD4,-38
ACADVL,-39
IL16,-40
CD69,-41
GNLY,-42
KIR2DL5A/B,-43
BAK1,-44
ZFP36L2,-45
CXCR3,-46
PBX1,-47
CCNB1,-48
BLK,-49
XIAP,-50
TOX,-51
CXCL8,-52
ITGAV,-53
ADORA2A,-54
JAG1,-55
PTPN6,-56
OAS3,-57
HLA-DRB1/3,-58
GK,-59
PPP2CA,-60
TIMP1,-61
TNFRSF14,-62
NOTCH2,-63
NCR3,-64
VAV3,-65
CACNB4,-66
IL11RA,-67
VEGFA,-68
IL2RA,-69
CD3E,-70
CD84,-71
ELOVL7,-72
BMP8A/B,-73
NFKB2,-74
TRAC,-75
RORA,-76
SPIB,-77
DLL4,-78
TLR7,-79
KLRC2/3,-80
STAT4,-81
NFATC1,-82
RBX1,-83
PSMB10,-84
CMKLR1,-85
PTPRK,-86
IL9R,-87
MRAS,-88
CD45RA,-89
TYK2,-90
PLCG2,-91
PTPRJ,-92
IL27RA,-93
PTPN2,-94
PRKCZ,-95
LILRA4,-96
JUN,-97
YWHAZ,-98
CD40,-99
CCL4/L1,-100
IRF2,-101
RBL2,-102
IL1R2,-103
CCNB3,-104
