feature,importance
ECHS1,0.02206266070295155
PPP2CB,0.01793158743094911
SOCS3,0.015641380289535142
MAPK3,0.013864752037844654
PIK3R1,0.012730551678262017
BATF,0.01266972243862752
CEACAM3,0.011149988225873618
TNFAIP3,0.010069667693241519
INPP5D,0.00963762954298381
AIFM1,0.009247791969502636
MAP3K8,0.008834680759711989
CCL2,0.008673044943464181
ARG1,0.008560533487529746
IL6R,0.008342819842743791
SP100,0.008118356692887102
LILRA1,0.008103082326327116
YES1,0.007991955541763211
PML,0.007205068465517838
RHEB,0.007149059177509884
MCL1,0.006835785411195963
UCP1,0.006822180609546416
HCST,0.006707052115562412
BRWD1,0.006627913176128743
JUNB,0.006410008964650125
CEACAM1,0.006359538010772401
FZD2,0.0061950411409608585
CTLA4,0.006156936581173265
SLC7A5,0.006117642173768965
ID2,0.005940099354181598
PPP2R5A,0.005783860214213746
PSMB10,0.005601383738252002
CLCF1,0.0055992642485889164
KIR2DL5A/B,0.005466069166912321
CISH,0.005440420911865931
HLA-DQA1,0.005411666027115334
CD4,0.005314077090547006
IL27RA,0.005225713332652476
PPP2CA,0.005066691168633155
PIK3CA,0.005034639813204936
GSK3B,0.004963343647277861
TNFRSF14,0.004812513310714916
TICAM1,0.004678821970632158
HLA-DQB1,0.004570885307990501
DCTN6,0.0045515759332268165
MIF,0.00454871841600568
PDHB,0.004540582522994377
KDM3A,0.00452552675029601
CCR2,0.0045013831157998665
STAT4,0.004151328010678654
HEY1,0.0041460572684631535
ICOSLG,0.003923691663831547
CD101,0.0038581223141313614
LAIR1,0.0037572472869409823
CD180,0.003537992569570556
TRDC,0.0035278039239906044
SLC2A3/14,0.00351676327284259
GLS,0.003456218213386001
HLA-DRB1/3,0.0034461291465617988
ZFP36L2,0.003420592524623965
PPM1A,0.003420092172490649
PTPN6,0.0034046482332821064
TRGV3/5,0.003395937372564589
IRF2,0.0033735729604770144
ITPR2,0.003339498902861425
CYP26C1,0.0033382361158257197
JUND,0.0032783882810059344
CBLB,0.0032735725572238805
ITGAV,0.003261837156952355
CUL2,0.0032250954752358193
RRAS,0.003213938249064863
IL1R2,0.0032129526521434675
ELOVL2,0.0031872461251144265
MMP9,0.0031403140215473537
VAV3,0.0031054677503928
CXCL1/2/3,0.0030477625579235124
PBX3,0.0030369251323573454
GK,0.003028648390476946
CD69,0.0029486528818609093
TPP2,0.002894237445293561
CD27,0.0028484875479436967
PSMB9,0.002837544681493788
NFKB2,0.0028029858155632073
CD200R1,0.002791689629369282
YY1,0.0027905350384416156
VTCN1,0.0027862827833696245
FCAR,0.0027623194485028916
RORA,0.0027469554059405673
CSF1R,0.0027301428179132945
TRIM33,0.002729945063818389
FCER1G,0.0027224265306723147
SF3B1,0.002718359892454196
JARID2,0.0026953059959695
DNM1L,0.0026655134403309874
TAX1BP1,0.002654304601697407
TAB2,0.0026385490683328823
TLR7,0.0026355858528237085
TRGV8,0.0026142539190198303
FADD,0.002607404548375056
ALDOA,0.0025992772277409378
BAX,0.0025938808794547584
PDGFRA,0.0025928773100817814
CXCR3,0.0025715627525771216
PIK3CB,0.002539163616022834
TNFRSF1A,0.002535648891684722
OAS2,0.002535562901669623
TRPM7,0.002520792507772115
LEF1,0.002513832606076884
VEGFA,0.002503509993983241
EHHADH,0.0024858886160162635
EFNA1,0.002461929650682031
BST2,0.00244953917576007
SCP2,0.002429728219940635
PLCG2,0.0024195232329113263
CREBBP,0.00241753106434635
PPP1CB,0.002407740808542485
EIF4B,0.002396888035793434
CCNT2,0.002372070414246876
DAPP1,0.0023707635890889652
NFIL3,0.0023666222976449357
LAMTOR3,0.002334041330321871
DUSP1,0.0023313771045200492
TUSC2,0.0023210644798484807
MS4A1,0.0022809779063904688
ICAM1,0.0022590594394316676
CEBPB,0.0022251931611899007
JUN,0.002217395653270642
FGF10,0.0022040653676244997
PRDM1,0.002199069672226433
SELL,0.0021970152285740907
STAT5A,0.0021880275528133424
FCGR1A/B,0.002140511267050398
ITGB3,0.002139188650220876
CD80,0.0021370785128565885
TOX,0.002127050651455634
CCR7,0.002112892923792189
CCR5,0.0020795361847532248
BPI,0.002072290050336017
CCNC,0.002053853793963644
CCNT1,0.00204678310495935
MYSM1,0.0020293858828868104
LPL,0.00201989423144706
CD40,0.0020109365700943928
KIR2DL1/2,0.0019805436065615787
PIAS1,0.0019543116364223807
ZNF683,0.001942750328863247
TRDV2,0.0019304701939510988
JAK1,0.0019251444011562269
GADD45A,0.0019244131495449776
PSME2,0.0018939210455610638
NT5E,0.0018475013551544632
ITCH,0.0018411734536290182
PRKAA1,0.0018304510700724427
CD84,0.0018182958488208235
PPARGC1A,0.00181776855099547
CMKLR1,0.0018155244843954057
DRAP1,0.001794652393236356
TNFSF10,0.0017908791378850764
TNFRSF17,0.0017865108256974018
BLK,0.0017840217904260525
BCL2,0.0017676183913384158
KIR3DL1/2,0.0017674743819559547
ATF4,0.001757984828773294
IGLC1,0.0017474207035665021
ZBTB16,0.001728621475535132
PTK2B,0.0017273395465545332
IGKC,0.001717178227237486
IL21R,0.0016923817722303937
PTGR1,0.001687486553594292
TRGC1,0.0016795996823726954
NFKBIA,0.0016614186806609864
CD5,0.0016561845650507733
CYLD,0.0016500585577629927
CD33,0.0016455618769039245
CXCL8,0.0016211660946851632
CASP9,0.0016156226637467127
PBX1,0.0015961178033982685
CASP8,0.0015747435132821954
BCL6,0.001563969597721937
IRS1,0.0015628974237662681
NOTCH2,0.0015236628902835214
PTPRS,0.0015201602280452075
PKN2,0.001513065508810962
CSF3R,0.0014907465727976277
LAG3,0.0014781425828630185
BAK1,0.0014454657167165112
IL16,0.0014444102678761092
OAS1,0.0014349750305836196
IL1RL1,0.0014216702788402685
RASGRP3,0.00141709316725695
LILRB1,0.0014115128236134942
RBX1,0.0013957536590976885
IGHA1,0.00139528317394745
CD163,0.001389483975940105
CD3E,0.0013828583351971713
TIGIT,0.0013809616430586415
IGHD,0.001379288647803727
XCL1/2,0.0013699292830688184
MRAS,0.001365094336502724
DTX4,0.001358206674033905
CCL3/L1,0.0013555989268771418
FOS,0.001344548787702971
PPP2R5E,0.001337819026303318
IL15,0.0013269756569028576
TNFSF9,0.0013256798214780101
MAPK9,0.0013208227497212392
GOT2,0.0013150546752058157
KLRG1,0.0013150268024131296
STAT1,0.0013112362132554675
PIK3AP1,0.0013086162493007793
LRP6,0.0013063413416401271
IGHG1,0.0013010505615580997
CD274,0.001272821081285548
PTPRJ,0.0012637602758785644
TAF6L,0.0012607158025787935
MAP2K2,0.0012544124935776242
DIABLO,0.0012539522552945247
CD68,0.0012474905419563235
ACADVL,0.001240145822844598
