feature,importance
MAPK3,3.4497341851811503e-18
ECHS1,2.082982355623666e-18
YES1,1.932261826342537e-18
IL6R,1.752793512184899e-18
PIK3R1,1.4505310883404552e-18
BATF,1.4423174355185953e-18
PPP2CB,1.3010426069826053e-18
UCP1,1.3010426069826053e-18
ARG1,1.2895434930320015e-18
CEACAM3,1.1991933119915428e-18
CCL2,1.1745523535259632e-18
AIFM1,1.0907730947429923e-18
CEACAM1,1.0234211416037413e-18
HCST,1.0123327102942305e-18
SP100,1.0053511053956496e-18
SOCS3,9.987801831381617e-19
TNFAIP3,9.462128050782583e-19
PIK3CA,9.03501810404587e-19
CISH,8.920026964539831e-19
BRWD1,8.049379765422684e-19
SLC7A5,7.885106708985487e-19
CTLA4,7.852252097698047e-19
PSMB10,7.720833652548289e-19
MCL1,7.70440634690457e-19
MMP9,7.589415207398531e-19
MAP3K8,7.113023343730658e-19
VAV3,6.9816048985809e-19
CCR2,6.805011362910912e-19
TICAM1,6.702340702637664e-19
PDHB,6.683859983788479e-19
ITGAV,6.636631480062785e-19
PPP2R5A,6.6284178272409245e-19
LILRA1,6.439503812338148e-19
FZD2,6.242376144613511e-19
INPP5D,6.160239616394911e-19
KDM3A,6.061675782532593e-19
TLR7,5.979539254313995e-19
ID2,5.897402726095395e-19
PIAS1,5.864548114807956e-19
PPP2CA,5.60581805091937e-19
ATF4,5.530868468919898e-19
LEF1,5.527788349111701e-19
IL27RA,5.503147390646121e-19
CYP26C1,5.478506432180541e-19
PTK2B,5.289592417277764e-19
PIK3CB,5.076037443909407e-19
PML,5.026755526978248e-19
CLCF1,4.890203548814828e-19
CXCR3,4.788559595144312e-19
PYCR2,4.726957198980362e-19
TAX1BP1,4.689995761281993e-19
FCAR,4.644820670761763e-19
HLA-DQA1,4.501081746379215e-19
HLA-DRB1/3,4.369663301229457e-19
LAG3,4.258778988134349e-19
RHEB,4.2423516824906293e-19
CSF3R,4.2064169513949923e-19
DCTN6,4.1396810222173807e-19
E2F1,4.1068264109299412e-19
LAMTOR3,4.1068264109299412e-19
VEGFA,4.0739717996425017e-19
CDKN2C,4.0236631761086095e-19
FCER1G,4.0062091638621577e-19
JUNB,3.901485090383444e-19
TNFRSF14,3.7947076036992655e-19
SLC2A3/14,3.765959818822756e-19
ICOSLG,3.761852992411826e-19
PSME2,3.725918261316189e-19
TNFSF10,3.6992238896451446e-19
DRAP1,3.696143769836947e-19
PPP3CA,3.660722392042676e-19
GSK3B,3.646861852905788e-19
RORA,3.6314612538648005e-19
STAT4,3.6140072416183483e-19
IRF2,3.601686762385558e-19
PRKAA1,3.5010695153177746e-19
TRPM7,3.480792059913808e-19
ITGB3,3.420986400304641e-19
LAIR1,3.3840249626062713e-19
TNFRSF4,3.3337163390723795e-19
ELOVL2,3.307021967401335e-19
BPI,3.2587025879102377e-19
TRIM33,3.2484996910455832e-19
PBX3,3.2361792118127936e-19
CD69,3.183817175073437e-19
CD180,3.1622563364160544e-19
NT5E,3.156609450101026e-19
EFNA1,3.0683126822660323e-19
CD40,3.059585676142806e-19
RRAS,3.047265196910016e-19
RARB,2.978989207828306e-19
TNFRSF1A,2.973342321513277e-19
CCR5,2.9487013630476977e-19
IRAK4,2.913279985253427e-19
CCR7,2.856297768801774e-19
CD200R1,2.837817049952589e-19
IL1R1,2.8316568103361944e-19
TRGV8,2.80085561225422e-19
KIR2DL5A/B,2.79674878584329e-19
NFATC1,2.79674878584329e-19
TRGV3/5,2.7618407613503854e-19
CD45R0,2.7474668689121306e-19
GZMK,2.7413066292957356e-19
PRDM1,2.735146389679341e-19
TNFRSF17,2.7238526170492833e-19
PSMB9,2.6797042331317866e-19
DUSP1,2.6735439935153915e-19
CSF1R,2.661223514282602e-19
IL1R2,2.661223514282602e-19
SMC3,2.6453095619402483e-19
ADORA2B,2.634529142611557e-19
EIF4B,2.6242620765842323e-19
TRDC,2.6037279445295825e-19
HEY1,2.6037279445295825e-19
CD4,2.6037279445295825e-19
GLS,2.595514291707723e-19
TRPC1,2.583707165776299e-19
TYK2,2.5529059676943245e-19
TNFSF4,2.5246715361191813e-19
NFIL3,2.5215914163109837e-19
S100A12,2.513377763489124e-19
VTCN1,2.505164110667264e-19
NFKB2,2.4805231522016846e-19
CBLB,2.4743629125852895e-19
PPM1A,2.3922263843666908e-19
RGS2,2.369638839106576e-19
CD274,2.357318359873786e-19
ITPR2,2.3493613837026095e-19
DNM1L,2.286988957586611e-19
IL9R,2.279288658066117e-19
ICAM1,2.2605512625662494e-19
EHHADH,2.2587545260114677e-19
IL21R,2.2587545260114677e-19
CEBPB,2.217686261902168e-19
DNMT3A,2.213579435491238e-19
SELL,2.213579435491238e-19
ST3GAL6,2.1971521298475183e-19
TRDV3,2.1468435063136268e-19
MIF,2.1437633865054292e-19
JUND,2.1273360808617095e-19
GOT2,2.1273360808617095e-19
CCNB3,2.1268227275603432e-19
NR4A1,2.1191224280398496e-19
XIAP,2.026718833793926e-19
PDGFRA,2.0041312885338111e-19
FADD,1.9959176357119513e-19
CD101,1.9877039828900914e-19
YY1,1.986933952938042e-19
GZMA,1.9343152395480023e-19
HLA-DQB1,1.9302084131370723e-19
CYP4A11/22,1.9209680537124799e-19
TRGC1,1.9014606282605628e-19
PTPN6,1.880926496205913e-19
SOCS1,1.8757929631922507e-19
SH2D1A,1.8696327235758556e-19
PTPN11,1.8680926636717568e-19
PPP1CB,1.8603923641512632e-19
CD3G,1.8562855377403334e-19
LILRB3,1.8378048188911486e-19
BAX,1.8265110462610912e-19
STAT1,1.8172706868364988e-19
PTPRS,1.815217273631034e-19
CCL3/L1,1.7985332913366311e-19
KIR3DL1/2,1.7615718536382616e-19
IGKC,1.741294398234295e-19
CASP8,1.7187068529741803e-19
CXCL1/2/3,1.7084397869468554e-19
PPP2R1A,1.7084397869468554e-19
IFNG,1.7002261341249955e-19
SCP2,1.6976593676181645e-19
NCR1,1.690793267212391e-19
IFNA4/7/10/17/21,1.6786652954676134e-19
IL2RA,1.6771252355635147e-19
CASP9,1.671478349248486e-19
CCNT1,1.671478349248486e-19
GK,1.671478349248486e-19
BCL6,1.667371522837556e-19
SPAG9,1.6612112832211612e-19
ITGA10,1.6006355936599445e-19
TPP2,1.5934486474408172e-19
JARID2,1.5934486474408172e-19
MS4A1,1.5842082880162248e-19
